season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2014,11620,5,1.0,03/08/2014,590889,home,797,Milwaukee,4,10,0,1,0,0.0,0,9.0,14,10,8,2,2,3,5,0,7,1,0,0,47,40,0,0,0,1,10,9,2,0.0,90.48942598187311,0.0,8.0,212.0,6.935817158028408,2.111111111111111,14.0,3.0,5.0,7.0,1.4,10.0
2014,11620,5,1.0,03/09/2014,591316,home,797,Milwaukee,13,5,1,0,0,0.0,0,9.0,12,5,5,2,0,0,5,0,3,2,0,0,46,36,0,0,0,2,10,13,0,0.0,90.48942598187311,1.0,5.0,132.0,3.8247060469172975,1.8888888888888888,12.0,0.0,5.0,3.0,0.6,5.0
2014,11620,5,1.0,03/14/2014,592178,away,140,Cincinnati,5,8,0,1,0,0.0,0,8.0,9,8,4,2,0,1,4,0,5,2,0,0,38,32,2,1,0,0,4,11,2,0.0,90.48942598187311,0.0,4.5,119.0,4.7830393802506315,1.625,10.125,1.125,4.5,5.625,1.25,9.0
2014,11620,5,1.0,03/15/2014,592786,away,140,Cincinnati,8,0,1,0,1,0.0,0,9.0,5,0,0,0,0,0,5,0,7,0,0,0,34,29,0,0,0,0,9,8,1,0.0,90.48942598187311,1.0,0.0,0.0,2.269150491361742,1.1111111111111112,5.0,0.0,5.0,7.0,1.4,0.0
2014,11620,5,1.0,03/15/2014,592828,away,140,Cincinnati,2,4,0,1,0,0.0,0,8.0,7,4,4,2,0,1,5,0,3,4,0,0,41,30,3,1,1,1,7,13,1,0.0,90.48942598187311,0.0,4.5,119.0,6.4080393802506315,1.5,7.875,1.125,5.625,3.375,0.6,4.5
2014,11620,5,1.0,03/18/2014,593488,away,518,Ohio St.,5,6,0,1,0,0.0,0,10.666666666666666,12,6,5,3,0,1,5,2,9,1,1,1,51,42,2,0,1,2,10,13,2,0.0,90.48942598187311,0.0,4.21875,112.0,3.376789380250631,1.59375,10.125,0.84375,4.21875,7.59375,1.8,5.0625
2014,11620,5,1.0,03/19/2014,593813,away,545,Pittsburgh,8,11,0,1,0,0.0,0,8.0,15,11,11,1,1,1,5,0,4,3,2,1,44,34,2,2,1,1,9,8,1,0.0,90.48942598187311,0.0,12.375,328.0,5.7830393802506315,2.5,16.875,1.125,5.625,4.5,0.8,12.375
2014,11620,5,1.0,03/21/2014,594174,home,204,Eastern Mich.,6,3,1,0,0,0.0,0,9.0,8,3,2,2,0,0,2,0,2,2,0,0,38,33,0,0,1,0,8,15,2,0.0,90.48942598187311,1.0,2.0,53.0,3.04692826913952,1.1111111111111112,8.0,0.0,2.0,2.0,1.0,3.0
2014,11620,5,1.0,03/22/2014,594681,home,204,Eastern Mich.,10,5,1,0,0,0.0,0,9.0,10,5,5,0,0,0,0,0,11,1,0,0,39,37,3,3,1,0,11,4,4,0.0,90.48942598187311,1.0,5.0,132.0,0.04692826913951986,1.1111111111111112,10.0,0.0,0.0,11.0,inf,5.0
2014,11620,5,1.0,03/22/2014,594861,home,204,Eastern Mich.,6,0,1,0,0,0.0,0,9.0,2,0,0,0,0,0,7,0,11,1,0,0,37,29,0,0,0,0,7,9,5,0.0,90.48942598187311,1.0,0.0,0.0,2.3802616024728533,1.0,2.0,0.0,7.0,11.0,1.5714285714285714,0.0
2014,11620,5,1.0,03/28/2014,595998,away,709,Toledo,3,2,1,0,0,0.0,0,9.0,9,2,2,2,0,1,3,0,1,0,1,0,37,32,0,0,2,0,9,14,0,0.0,90.48942598187311,1.0,2.0,53.0,4.380261602472853,1.3333333333333333,9.0,1.0,3.0,1.0,0.3333333333333333,2.0
2014,11620,5,1.0,03/28/2014,596036,away,709,Toledo,7,6,1,0,1,0.0,0,9.0,10,6,4,0,1,1,5,0,4,0,1,0,43,37,0,0,1,0,13,10,0,0.0,90.48942598187311,1.0,4.0,106.0,4.380261602472853,1.6666666666666667,10.0,1.0,5.0,4.0,0.8,6.0
2014,11620,5,1.0,03/29/2014,596070,away,709,Toledo,3,4,0,1,0,0.0,0,8.666666666666666,11,4,4,1,0,0,7,1,3,0,0,0,41,33,0,0,1,0,13,6,2,0.0,90.48942598187311,0.0,4.153846153846154,110.0,3.888808611019862,2.076923076923077,11.423076923076925,0.0,7.269230769230769,3.115384615384616,0.42857142857142855,4.153846153846154
2014,11620,5,1.0,04/01/2014,596965,away,388,Marshall,2,5,0,1,0,0.0,0,8.0,11,5,5,0,0,2,2,0,5,1,0,0,35,29,0,0,2,1,6,10,2,0.0,90.48942598187311,0.0,5.625,149.0,5.2830393802506315,1.625,12.375,2.25,2.25,5.625,2.5,5.625
2014,11620,5,1.0,04/02/2014,597308,home,116,Canisius,2,1,1,0,0,0.0,0,10.0,11,1,1,3,0,1,3,0,7,0,0,0,42,37,0,0,2,0,10,11,1,0.0,90.48942598187311,1.0,0.9,24.0,2.9580393802506313,1.4,9.9,0.9,2.6999999999999997,6.3,2.3333333333333335,0.9
2014,11620,5,1.0,04/04/2014,597596,away,414,Miami (OH),7,5,1,0,0,0.0,0,9.0,9,5,5,3,0,0,2,0,1,0,0,0,35,32,0,0,1,0,12,9,0,0.0,90.48942598187311,1.0,5.0,132.0,2.602483824695075,1.2222222222222223,9.0,0.0,2.0,1.0,0.5,5.0
2014,11620,5,1.0,04/05/2014,597830,away,414,Miami (OH),0,6,0,1,0,0.0,0,8.0,14,6,4,0,1,1,3,0,5,0,0,0,39,31,0,0,4,1,8,8,3,0.0,90.48942598187311,0.0,4.5,119.0,3.658039380250631,2.125,15.75,1.125,3.375,5.625,1.6666666666666667,6.75
2014,11620,5,1.0,04/06/2014,598568,away,414,Miami (OH),3,5,0,1,0,0.0,0,8.0,5,5,2,2,1,0,2,0,6,1,0,0,32,24,0,0,3,2,6,10,3,0.0,90.48942598187311,0.0,2.25,60.0,1.783039380250631,0.875,5.625,0.0,2.25,6.75,3.0,5.625
2014,11620,5,1.0,04/08/2014,599118,away,545,Pittsburgh,7,5,1,0,1,0.0,0,9.0,12,5,4,3,0,0,8,0,3,2,0,0,47,37,2,0,0,0,8,13,1,0.0,90.48942598187311,1.0,4.0,106.0,4.8247060469172975,2.2222222222222223,12.0,0.0,8.0,3.0,0.375,5.0
2014,11620,5,1.0,04/09/2014,599377,away,116,Canisius,8,5,1,0,0,0.0,0,9.0,14,5,5,2,1,2,1,0,7,1,1,0,42,40,0,0,0,0,7,12,2,0.0,90.48942598187311,1.0,5.0,132.0,4.1580393802506315,1.6666666666666667,14.0,2.0,1.0,7.0,7.0,5.0
2014,11620,5,1.0,04/11/2014,599860,home,519,Ohio,8,0,1,0,0,0.0,1,9.0,6,0,0,2,0,0,1,0,2,0,0,0,35,34,0,0,0,0,3,22,1,0.0,90.48942598187311,1.0,0.0,0.0,2.04692826913952,0.7777777777777778,6.0,0.0,1.0,2.0,2.0,0.0
2014,11620,5,1.0,04/12/2014,600156,home,519,Ohio,7,1,1,0,1,0.0,0,9.0,2,1,1,0,0,2,3,0,4,1,0,0,33,28,2,1,0,1,14,9,2,0.0,90.48942598187311,1.0,1.0,26.0,5.4913727135839645,0.5555555555555556,2.0,2.0,3.0,4.0,1.3333333333333333,1.0
2014,11620,5,1.0,04/13/2014,600981,home,519,Ohio,5,4,1,0,1,0.0,0,9.0,8,4,4,1,0,2,5,0,6,2,0,0,41,34,2,0,0,0,10,10,3,0.0,90.48942598187311,1.0,4.0,106.0,6.04692826913952,1.4444444444444444,8.0,2.0,5.0,6.0,1.2,4.0
2014,11620,5,1.0,04/16/2014,601450,away,774,Western Mich.,8,2,1,0,0,0.0,0,9.0,7,2,1,2,0,1,0,0,7,1,0,0,34,33,0,0,0,0,11,7,2,0.0,90.48942598187311,1.0,1.0,26.0,2.3802616024728533,0.7777777777777778,7.0,1.0,0.0,7.0,inf,2.0
2014,11620,5,1.0,04/18/2014,601904,home,71,Bowling Green,7,9,0,1,0,0.0,0,9.0,17,9,8,2,0,1,3,1,3,0,0,1,45,41,1,0,1,0,15,7,1,0.0,90.48942598187311,0.0,8.0,212.0,3.9358171580284087,2.2222222222222223,17.0,1.0,3.0,3.0,1.0,9.0
2014,11620,5,1.0,04/19/2014,602447,home,71,Bowling Green,5,11,0,1,0,0.0,0,9.0,12,11,9,0,2,3,4,0,3,2,0,0,47,38,7,4,0,3,9,14,1,0.0,90.48942598187311,0.0,9.0,238.0,7.8247060469172975,1.7777777777777777,12.0,3.0,4.0,3.0,0.75,11.0
2014,11620,5,1.0,04/20/2014,603063,home,71,Bowling Green,1,8,0,1,0,0.0,0,9.0,14,8,4,2,0,4,3,0,7,0,0,0,45,40,1,1,1,1,12,8,2,0.0,90.48942598187311,0.0,4.0,106.0,7.380261602472853,1.8888888888888888,14.0,4.0,3.0,7.0,2.3333333333333335,8.0
2014,11620,5,1.0,04/22/2014,603421,home,817,Youngstown St.,5,0,1,0,0,0.0,0,9.0,3,0,0,0,0,0,3,0,12,1,0,0,34,30,0,0,0,0,3,11,3,0.0,90.48942598187311,1.0,0.0,0.0,0.8247060469172978,0.6666666666666666,3.0,0.0,3.0,12.0,4.0,0.0
2014,11620,5,1.0,04/23/2014,603675,home,810,Wright St.,1,3,0,1,0,0.0,0,9.0,6,3,3,2,0,1,1,0,4,1,0,0,35,33,0,0,0,0,10,12,0,0.0,90.48942598187311,0.0,3.0,79.0,3.3802616024728533,0.7777777777777778,6.0,1.0,1.0,4.0,4.0,3.0
2014,11620,5,1.0,04/25/2014,603927,away,86,Buffalo,2,3,0,1,0,0.0,0,8.0,12,3,2,0,0,2,3,0,3,1,0,0,39,34,3,0,1,0,12,7,1,0.0,90.48942598187311,0.0,2.25,60.0,6.1580393802506315,1.875,13.5,2.25,3.375,3.375,1.0,3.375
2014,11620,5,1.0,04/26/2014,604265,away,86,Buffalo,3,6,0,1,0,0.0,0,8.0,12,6,6,0,0,1,8,1,8,0,0,0,43,32,2,0,3,0,8,7,1,0.0,90.48942598187311,0.0,6.75,179.0,4.7830393802506315,2.5,13.5,1.125,9.0,9.0,1.0,6.75
2014,11620,5,1.0,04/27/2014,604922,away,86,Buffalo,6,11,0,1,0,0.0,0,8.0,12,11,7,2,0,1,10,1,6,1,0,0,48,29,3,2,6,2,11,5,3,0.0,90.48942598187311,0.0,7.875,209.0,6.4080393802506315,2.75,13.5,1.125,11.25,6.75,0.6,12.375
2014,11620,5,1.0,04/30/2014,605570,away,810,Wright St.,9,5,1,0,1,0.0,0,9.0,14,5,5,5,0,0,4,0,8,1,0,1,42,36,3,0,1,0,4,11,2,0.0,90.48942598187311,1.0,5.0,132.0,2.04692826913952,2.0,14.0,0.0,4.0,8.0,2.0,5.0
2014,11620,5,1.0,05/02/2014,605699,home,47,Ball St.,5,2,1,0,1,0.0,0,9.0,11,2,2,2,0,1,2,0,2,2,0,0,40,36,0,0,0,0,7,16,0,0.0,90.48942598187311,1.0,2.0,53.0,4.4913727135839645,1.4444444444444444,11.0,1.0,2.0,2.0,1.0,2.0
2014,11620,5,1.0,05/03/2014,605999,home,47,Ball St.,3,4,0,1,0,0.0,0,11.0,11,4,4,2,0,4,7,1,6,0,1,1,47,36,0,0,4,0,18,5,1,0.0,90.48942598187311,0.0,3.272727272727273,87.0,7.703493925705176,1.6363636363636365,9.0,3.272727272727273,5.7272727272727275,4.909090909090908,0.8571428571428571,3.272727272727273
2014,11620,5,1.0,05/04/2014,606519,home,47,Ball St.,3,5,0,1,0,0.0,0,9.0,11,5,4,1,0,2,4,0,9,1,0,0,40,33,1,0,2,0,12,3,2,0.0,90.48942598187311,0.0,4.0,106.0,4.713594935806187,1.6666666666666667,11.0,2.0,4.0,9.0,2.25,5.0
2014,11620,5,1.0,05/09/2014,607136,away,503,NIU,7,4,1,0,0,0.0,0,13.0,9,4,3,2,0,3,5,2,9,3,1,0,55,45,4,1,1,1,6,22,3,0.0,90.48942598187311,1.0,2.076923076923077,55.0,5.619577841789093,1.0769230769230769,6.230769230769231,2.076923076923077,3.4615384615384617,6.230769230769231,1.8,2.769230769230769
2014,11620,5,1.0,05/10/2014,607352,away,503,NIU,1,4,0,1,0,0.0,0,8.0,11,4,4,2,1,3,6,0,3,0,0,0,37,31,2,0,0,0,9,8,1,0.0,90.48942598187311,0.0,4.5,119.0,8.533039380250631,2.125,12.375,3.375,6.75,3.375,0.5,4.5
2014,11620,5,1.0,05/11/2014,607605,away,503,NIU,0,2,0,1,0,0.0,0,8.0,3,2,2,1,0,0,1,0,5,0,0,0,28,27,0,0,0,0,14,5,2,0.0,90.48942598187311,0.0,2.25,60.0,1.283039380250631,0.5,3.375,0.0,1.125,5.625,5.0,2.25
2014,11620,5,1.0,05/13/2014,607779,home,175,Dayton,2,9,0,1,0,0.0,0,9.0,9,9,9,3,0,4,3,0,4,3,0,0,42,36,0,0,0,0,10,12,1,0.0,90.48942598187311,0.0,9.0,238.0,9.04692826913952,1.3333333333333333,9.0,4.0,3.0,4.0,1.3333333333333333,9.0
2014,11620,5,1.0,05/16/2014,608133,away,331,Kent St.,8,7,1,0,1,0.0,0,9.0,11,7,6,1,1,1,2,0,3,0,1,0,39,36,0,0,0,1,6,17,1,0.0,90.48942598187311,1.0,6.0,159.0,3.602483824695075,1.4444444444444444,11.0,1.0,2.0,3.0,1.5,7.0
2014,11620,5,1.0,05/16/2014,608139,away,331,Kent St.,4,5,0,1,0,0.0,0,8.333333333333332,6,5,5,1,0,0,4,0,1,2,1,0,37,28,0,0,3,0,13,10,0,0.0,90.48942598187311,0.0,5.4,143.0,4.078039380250631,1.2000000000000002,6.48,0.0,4.320000000000001,1.0800000000000003,0.25,5.4
2014,11620,5,1.0,05/17/2014,608214,away,331,Kent St.,0,19,0,1,0,0.0,0,8.0,14,19,15,8,2,0,3,0,5,4,1,0,48,41,0,0,0,0,8,10,2,0.0,90.48942598187311,0.0,16.875,447.0,3.533039380250631,2.125,15.75,0.0,3.375,5.625,1.6666666666666667,21.375
2014,11620,5,1.0,05/21/2014,608490,home,129,Central Mich.,9,6,1,0,1,0.0,0,9.0,10,6,4,2,1,2,5,0,7,2,0,0,44,37,0,0,0,0,9,9,2,0.0,90.48942598187311,1.0,4.0,106.0,5.8247060469172975,1.6666666666666667,10.0,2.0,5.0,7.0,1.4,6.0
2014,11620,5,1.0,05/22/2014,608557,home,86,Buffalo,7,1,1,0,0,0.0,0,9.0,6,1,1,2,0,0,2,0,1,1,0,0,34,31,0,0,0,0,10,14,1,0.0,90.48942598187311,1.0,1.0,26.0,2.9358171580284087,0.8888888888888888,6.0,0.0,2.0,1.0,0.5,1.0
2014,11620,5,1.0,05/24/2014,608731,home,86,Buffalo,5,4,1,0,0,0.0,0,12.0,15,4,3,3,0,0,4,0,9,1,0,0,55,48,0,0,2,0,14,12,3,0.0,90.48942598187311,1.0,2.25,60.0,1.908039380250631,1.5833333333333333,11.25,0.0,3.0,6.75,2.25,3.0
2014,11620,5,1.0,05/25/2014,608805,home,331,Kent St.,0,3,0,1,0,0.0,0,8.0,9,3,3,1,0,2,5,2,3,0,0,0,35,29,0,0,1,0,11,7,1,0.0,90.48942598187311,0.0,3.375,89.0,6.5330393802506315,1.75,10.125,2.25,5.625,3.375,0.6,3.375
2014,11620,6,1.0,02/15/2014,587110,home,308,Purdue Fort Wayne,2,5,0,1,0,0.0,0,9.0,11,5,4,2,1,0,5,0,8,1,0,0,41,34,3,1,0,1,5,9,3,0.0,92.68216570447808,0.0,4.0,104.0,2.3802616024728533,1.7777777777777777,11.0,0.0,5.0,8.0,1.6,5.0
2014,11620,6,1.0,02/15/2014,587174,home,308,Purdue Fort Wayne,5,1,1,0,0,0.0,0,7.0,4,1,1,1,0,0,1,0,2,1,0,0,27,25,0,0,0,0,8,10,1,0.0,92.68216570447808,1.0,1.2857142857142856,33.0,2.4437536659649166,0.7142857142857143,5.142857142857142,0.0,1.2857142857142856,2.571428571428571,2.0,1.2857142857142856
2014,11620,6,1.0,02/16/2014,587421,home,308,Purdue Fort Wayne,5,10,0,1,0,0.0,0,9.0,10,10,9,0,0,2,10,0,4,1,1,0,47,33,4,1,2,1,7,15,1,0.0,92.68216570447808,0.0,9.0,234.0,7.8247060469172975,2.2222222222222223,10.0,2.0,10.0,4.0,0.4,10.0
2014,11620,6,1.0,02/16/2014,587437,home,308,Purdue Fort Wayne,11,4,1,0,0,0.0,0,7.0,8,4,4,2,0,2,4,0,6,3,0,0,34,27,0,0,0,0,4,8,4,0.0,92.68216570447808,1.0,5.142857142857142,133.0,7.1580393802506315,1.7142857142857142,10.285714285714285,2.571428571428571,5.142857142857142,7.7142857142857135,1.5,5.142857142857142
2014,11620,6,1.0,02/18/2014,587557,home,9,UAB,3,10,0,1,0,0.0,0,9.0,11,10,6,1,0,5,8,0,8,8,0,0,51,33,6,0,1,1,8,6,3,0.0,92.68216570447808,0.0,6.0,156.0,12.93581715802841,2.111111111111111,11.0,5.0,8.0,8.0,1.0,10.0
2014,11620,6,1.0,02/19/2014,587654,away,9,UAB,6,9,0,1,0,0.0,0,8.0,10,9,6,1,0,0,8,0,4,2,0,0,45,33,0,0,2,0,10,10,2,0.0,92.68216570447808,0.0,6.75,175.0,4.9080393802506315,2.25,11.25,0.0,9.0,4.5,0.5,10.125
2014,11620,6,1.0,02/21/2014,587836,home,649,South Dakota St.,5,12,0,1,0,0.0,0,9.0,11,12,11,5,0,0,4,0,6,0,1,0,43,39,9,6,0,0,9,11,3,0.0,92.68216570447808,0.0,11.0,285.0,2.158039380250631,1.6666666666666667,11.0,0.0,4.0,6.0,1.5,12.0
2014,11620,6,1.0,02/22/2014,588168,home,649,South Dakota St.,6,4,1,0,0,0.0,0,9.0,7,4,2,3,0,1,3,0,6,0,0,0,39,31,0,0,5,0,15,6,2,0.0,92.68216570447808,1.0,2.0,52.0,3.269150491361742,1.1111111111111112,7.0,1.0,3.0,6.0,2.0,4.0
2014,11620,6,1.0,02/22/2014,588271,home,649,South Dakota St.,1,2,0,1,0,0.0,0,7.0,6,2,2,2,0,0,1,0,6,1,0,0,29,26,0,0,1,0,7,8,2,0.0,92.68216570447808,0.0,2.571428571428571,67.0,1.3008965231077738,1.0,7.7142857142857135,0.0,1.2857142857142856,7.7142857142857135,6.0,2.571428571428571
2014,11620,6,1.0,02/23/2014,588536,home,649,South Dakota St.,4,11,0,1,0,0.0,0,9.0,13,11,10,1,1,1,8,0,7,0,2,0,48,37,2,1,1,2,8,11,4,0.0,92.68216570447808,0.0,10.0,260.0,4.713594935806187,2.3333333333333335,13.0,1.0,8.0,7.0,0.875,11.0
2014,11620,6,1.0,02/25/2014,588768,away,37,Auburn,3,7,0,1,0,0.0,0,8.0,11,7,7,2,0,1,5,0,6,2,0,0,37,27,0,0,2,1,5,7,3,0.0,92.68216570447808,0.0,7.875,204.0,4.9080393802506315,2.0,12.375,1.125,5.625,6.75,1.2,7.875
2014,11620,6,1.0,02/27/2014,588907,away,28600,Lipscomb,5,18,0,1,0,0.0,0,8.0,10,18,13,2,0,2,12,0,5,3,0,0,51,35,10,8,0,1,2,17,2,0.0,92.68216570447808,0.0,14.625,380.0,9.783039380250631,2.75,11.25,2.25,13.5,5.625,0.4166666666666667,20.25
2014,11620,6,1.0,03/01/2014,589295,home,17,Alcorn,2,3,0,1,0,0.0,0,10.0,7,3,3,2,1,0,5,0,6,0,0,0,43,36,1,0,1,1,7,16,2,0.0,92.68216570447808,0.0,2.6999999999999997,70.0,2.458039380250631,1.2,6.3,0.0,4.5,5.3999999999999995,1.2,2.6999999999999997
2014,11620,6,1.0,03/01/2014,589414,home,17,Alcorn,8,7,1,0,0,0.0,0,9.0,12,7,6,1,0,0,3,0,8,1,1,0,39,35,0,0,0,0,6,8,3,0.0,92.68216570447808,1.0,6.0,156.0,1.7135949358061866,1.6666666666666667,12.0,0.0,3.0,8.0,2.6666666666666665,7.0
2014,11620,6,1.0,03/02/2014,589658,home,17,Alcorn,5,4,1,0,0,0.0,0,9.0,11,4,3,3,0,0,1,0,9,0,0,0,37,34,2,2,1,1,3,13,0,0.0,92.68216570447808,1.0,3.0,78.0,0.4913727135839643,1.3333333333333333,11.0,0.0,1.0,9.0,9.0,4.0
2014,11620,6,1.0,03/08/2014,590659,away,314,Jackson St.,8,1,1,0,0,0.0,0,9.0,9,1,1,0,0,0,6,0,10,1,0,0,43,34,0,0,2,0,6,9,2,0.0,92.68216570447808,1.0,1.0,26.0,2.269150491361742,1.6666666666666667,9.0,0.0,6.0,10.0,1.6666666666666667,1.0
2014,11620,6,1.0,03/08/2014,590766,away,314,Jackson St.,7,12,0,1,0,0.0,0,7.999999999999999,11,12,12,3,1,1,9,0,11,2,1,0,44,32,5,3,0,1,6,5,8,0.0,92.68216570447808,0.0,13.500000000000002,350.0,5.1580393802506315,2.5000000000000004,12.375000000000002,1.1250000000000002,10.125000000000002,12.375000000000002,1.2222222222222223,13.500000000000002
2014,11620,6,1.0,03/09/2014,591043,away,314,Jackson St.,1,2,0,1,0,0.0,0,10.333333333333334,7,2,2,3,0,0,4,0,6,2,0,1,43,35,0,0,2,0,11,12,3,0.0,92.68216570447808,0.0,1.7419354838709677,45.0,2.7386845415409535,1.064516129032258,6.096774193548387,0.0,3.4838709677419355,5.225806451612902,1.5,1.7419354838709677
2014,11620,6,1.0,03/15/2014,592657,home,7,Alabama St.,5,4,1,0,0,0.0,0,9.0,11,4,4,3,0,2,4,0,3,0,1,0,38,34,2,1,0,0,10,9,1,0.0,92.68216570447808,1.0,4.0,104.0,5.713594935806187,1.6666666666666667,11.0,2.0,4.0,3.0,0.75,4.0
2014,11620,6,1.0,03/15/2014,592829,home,7,Alabama St.,1,11,0,1,0,0.0,0,7.0,13,11,10,0,1,2,6,0,2,0,0,0,38,29,3,2,2,1,8,9,0,0.0,92.68216570447808,0.0,12.857142857142858,334.0,7.872325094536345,2.7142857142857144,16.714285714285715,2.571428571428571,7.7142857142857135,2.571428571428571,0.3333333333333333,14.142857142857142
2014,11620,6,1.0,03/16/2014,593192,home,7,Alabama St.,5,15,0,1,0,0.0,0,8.0,11,15,10,2,2,2,12,0,4,1,0,1,50,35,6,5,1,1,8,10,1,0.0,92.68216570447808,0.0,11.25,292.0,9.283039380250631,2.875,12.375,2.25,13.5,4.5,0.3333333333333333,16.875
2014,11620,6,1.0,03/18/2014,593518,home,444,Morehead St.,4,2,1,0,0,0.0,0,9.0,8,2,2,1,0,1,0,0,2,2,0,0,37,32,0,0,0,3,7,16,0,0.0,92.68216570447808,1.0,2.0,52.0,3.8247060469172975,0.8888888888888888,8.0,1.0,0.0,2.0,inf,2.0
2014,11620,6,1.0,03/19/2014,593753,home,444,Morehead St.,8,9,0,1,0,0.0,0,9.0,11,9,9,3,3,0,7,0,7,2,0,1,45,34,2,2,1,1,7,11,5,0.0,92.68216570447808,0.0,9.0,234.0,3.602483824695075,2.0,11.0,0.0,7.0,7.0,1.0,9.0
2014,11620,6,1.0,03/22/2014,594523,home,2,Abilene Christian,12,13,0,1,0,0.0,0,9.0,19,13,13,5,1,3,4,0,6,1,0,0,50,40,4,3,2,3,5,12,4,0.0,92.68216570447808,0.0,13.0,337.0,6.8247060469172975,2.5555555555555554,19.0,3.0,4.0,6.0,1.5,13.0
2014,11620,6,1.0,03/22/2014,594706,home,2,Abilene Christian,7,1,1,0,1,0.0,0,9.0,4,1,1,0,0,1,10,0,4,3,0,0,41,27,0,0,1,0,9,11,3,0.0,92.68216570447808,1.0,1.0,26.0,7.046928269139521,1.5555555555555556,4.0,1.0,10.0,4.0,0.4,1.0
2014,11620,6,1.0,03/23/2014,595005,home,2,Abilene Christian,9,8,1,0,0,0.0,0,9.0,11,8,6,1,1,0,3,0,5,1,1,0,41,35,2,2,0,2,9,10,2,0.0,92.68216570447808,1.0,6.0,156.0,2.3802616024728533,1.5555555555555556,11.0,0.0,3.0,5.0,1.6666666666666667,8.0
