App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
1,,0.1,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,1,6,1,03/04/2012,away,10942,202,Eastern Ky.,9,True,11,10,1,win,758824,305,998616,2012,11 - 10,,3.0
1,,0.1,,2,1,1,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,6,0,03/07/2012,home,10942,306,Indiana,9,True,13,8,5,win,759717,305,998616,2012,13 - 8,,12.0
1,,0.1,,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,,0,1,1,0,0,3,0,03/09/2012,home,10942,695,UT Martin,9,True,5,3,2,win,760147,305,998616,2012,5 - 3,,12.0
1,,0.1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,2,0,03/11/2012,home,10942,695,UT Martin,9,True,15,4,11,win,761139,305,998616,2012,15 - 4,,5.0
1,,1.0,,1,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,,2,1,0,0,0,2,0,03/13/2012,home,10942,660,SIUE,9,True,10,2,8,win,761705,305,998616,2012,10 - 2,,15.0
1,,1.1,,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,0,0,0,,4,0,0,0,0,2,0,03/16/2012,home,10942,287,Houston Baptist,9,True,4,3,1,win,762582,305,998616,2012,4 - 3,,10.0
1,,2.0,,1,0,0,0,1,0,7,6,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,0,0,2,0,03/21/2012,away,10942,434,Missouri,9,True,15,1,14,win,764088,305,998616,2012,15 - 1,,23.0
1,,0.1,,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,1,0,,1,0,0,0,0,3,0,03/24/2012,away,10942,219,Evansville,9,True,2,3,-1,loss,764832,305,998616,2012,2 - 3,,6.0
1,,0.1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,,1,0,0,0,0,3,0,03/30/2012,home,10942,299,Illinois St.,9,True,2,3,-1,loss,766733,305,998616,2012,2 - 3,,5.0
1,,1.2,,2,0,0,0,1,0,6,5,0,0,0,0,0,1,0,0,0,0,0,,1,1,0,0,0,6,0,04/03/2012,away,10942,302,UIC,12,True,8,7,1,win,768341,305,998616,2012,8 - 7,,0.0
1,,1.0,,0,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,0,0,,0,2,0,0,0,2,0,04/07/2012,away,10942,169,Creighton,12,True,2,0,2,win,769727,305,998616,2012,2 - 0,,14.0
1,,0.2,,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,,0,2,0,0,0,7,0,04/08/2012,away,10942,169,Creighton,9,True,0,8,-8,loss,770422,305,998616,2012,0 - 8,,3.0
1,,0.1,,1,0,0,1,0,0,3,2,0,0,0,1,0,0,0,2,2,0,0,,1,0,0,0,0,4,0,04/11/2012,away,10942,306,Indiana,9,True,7,8,-1,loss,770993,305,998616,2012,7 - 8,,8.0
1,,1.1,,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,0,2,0,04/13/2012,away,10942,72,Bradley,11,True,5,4,1,win,771354,305,998616,2012,5 - 4,,0.0
1,,0.1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,,0,1,0,0,0,3,0,04/14/2012,away,10942,72,Bradley,11,True,4,5,-1,loss,771724,305,998616,2012,4 - 5,,0.0
1,,1.1,,1,0,0,1,0,0,5,4,1,0,0,0,0,0,0,2,0,0,0,,2,1,0,0,0,4,0,04/17/2012,home,10942,735,Valparaiso,16,True,2,1,1,win,773207,305,998616,2012,2 - 1,,22.0
1,,0.1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,4,0,04/20/2012,home,10942,1045,DBU,9,True,2,15,-13,loss,773890,305,998616,2012,2 - 15,,4.0
1,,1.0,,4,2,2,0,0,0,7,7,0,0,0,0,0,0,0,1,1,0,0,,1,2,0,0,0,2,0,04/22/2012,home,10942,1045,DBU,9,True,7,5,2,win,775168,305,998616,2012,7 - 5,,23.0
1,,1.1,,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0,,1,2,0,0,0,5,0,04/29/2012,home,10942,464,Omaha,12,True,4,7,-3,loss,777080,305,998616,2012,4 - 7,,11.0
1,,0.1,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,,0,1,0,0,0,2,0,05/05/2012,home,10942,782,Wichita St.,9,True,6,3,3,win,778237,305,998616,2012,6 - 3,,2.0
1,,1.1,,1,1,1,0,0,0,5,5,1,0,0,0,0,0,0,3,0,0,0,,1,3,0,0,0,2,0,05/12/2012,away,10942,659,Southern Ill.,9,True,7,5,2,win,779392,305,998616,2012,7 - 5,,15.0
1,,0.2,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,3,0,05/15/2012,away,10942,559,Purdue,10,True,1,2,-1,loss,779741,305,998616,2012,1 - 2,,8.0
1,,1.2,,1,0,0,1,0,0,8,5,0,0,0,1,0,1,0,2,1,0,1,,2,3,0,0,0,6,0,05/18/2012,home,10942,669,Missouri St.,9,True,5,7,-2,loss,780099,305,998616,2012,5 - 7,,31.0
1,,0.2,,0,0,0,2,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,3,0,05/23/2012,home,10942,219,Evansville,9,True,5,8,-3,loss,780528,305,998616,2012,5 - 8,,28.0
1,,0.0,,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,,0,0,0,0,0,5,0,06/01/2012,home,10942,97,Cal St. Fullerton,9,True,5,9,-4,loss,780821,305,998616,2012,5 - 9,,0.0
1,,0.1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,,1,0,0,0,0,2,0,06/02/2012,home,10942,43,Austin Peay,9,True,0,1,-1,loss,780856,305,998616,2012,0 - 1,,3.0
1,,4.0,,7,2,2,0,3,0,19,17,3,0,0,0,0,2,0,0,0,0,0,,6,1,0,0,0,1,2,02/18/2012,home,10942,9,UAB,9,True,7,4,3,win,755996,147,993743,2012,7 - 4,,0.0
1,,3.0,,5,3,1,2,1,0,16,13,1,0,0,1,0,0,0,0,0,1,0,,4,2,0,0,0,1,1,02/26/2012,home,10942,380,Maine,9,True,9,6,3,win,757420,147,993743,2012,9 - 6,,0.0
1,,5.0,,6,1,1,0,2,0,20,19,0,0,0,0,0,0,0,0,0,1,0,,8,3,1,0,0,1,1,03/07/2012,home,10942,285,Holy Cross,9,True,16,4,12,win,759716,147,993743,2012,16 - 4,,0.0
1,,1.0,,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,1,0,1,,0,3,0,0,0,6,0,03/10/2012,home,10942,457,North Carolina,9,True,3,6,-3,loss,760490,147,993743,2012,3 - 6,,0.0
1,,0.1,,4,4,4,0,1,0,6,5,0,0,1,1,0,1,0,0,0,0,0,,0,0,0,1,0,2,0,03/14/2012,away,10942,769,Western Caro.,9,True,4,8,-4,loss,761912,147,993743,2012,4 - 8,,25.0
1,,3.1,,4,0,0,1,3,0,14,13,1,0,0,2,0,0,0,2,2,0,0,,3,3,0,0,0,2,2,03/24/2012,away,10942,746,Virginia,9,True,1,5,-4,loss,764799,147,993743,2012,1 - 5,,0.0
1,,2.2,,3,3,2,1,2,0,15,13,2,0,0,0,0,1,0,0,0,0,0,,6,0,0,0,0,3,2,03/28/2012,home,10942,1320,Presbyterian,9,True,4,8,-4,loss,766428,147,993743,2012,4 - 8,,0.0
1,,1.0,,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,2,0,04/03/2012,home,10942,792,Winthrop,9,True,11,0,11,win,768414,147,993743,2012,11 - 0,,0.0
1,,1.1,,2,0,0,0,2,0,6,6,0,0,0,0,0,0,0,2,1,0,0,,2,0,0,0,0,6,1,04/04/2012,home,10942,769,Western Caro.,9,True,8,13,-5,loss,768707,147,993743,2012,8 - 13,,0.0
1,,1.2,,3,0,0,1,3,0,9,8,0,0,0,0,0,0,0,3,2,0,0,,1,1,1,0,0,2,1,04/10/2012,away,10942,244,Furman,9,True,12,5,7,win,770644,147,993743,2012,12 - 5,,31.0
1,,1.1,,0,0,0,2,1,0,6,4,0,0,0,1,0,0,0,0,0,0,0,,3,0,0,0,0,4,0,04/15/2012,home,10942,490,NC State,9,True,3,6,-3,loss,772674,147,993743,2012,3 - 6,,0.0
1,,0.0,,3,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,04/24/2012,home,10942,149,Coastal Carolina,9,True,7,10,-3,loss,775435,147,993743,2012,7 - 10,,0.0
1,,6.0,,5,0,0,0,4,0,22,22,0,0,0,0,0,0,0,2,0,0,0,,4,9,1,0,0,4,3,05/08/2012,home,10942,692,Tennessee Tech,10,True,9,8,1,win,778944,147,993743,2012,9 - 8,,0.0
1,,7.2,,8,2,2,4,5,0,35,30,2,0,0,0,0,1,0,0,0,0,0,,7,10,1,0,0,1,2,05/15/2012,home,10942,244,Furman,9,True,9,2,7,win,779750,147,993743,2012,9 - 2,,0.0
1,,1.0,,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,0,7,0,05/19/2012,away,10942,749,Wake Forest,9,True,0,7,-7,loss,780242,147,993743,2012,0 - 7,,17.0
1,,3.2,,4,3,3,3,5,0,17,14,0,0,1,0,0,0,0,0,0,0,0,,1,4,0,0,0,3,3,05/25/2012,home,10942,234,Florida St.,9,True,9,7,2,win,780654,147,993743,2012,9 - 7,,0.0
1,,4.0,,3,1,1,4,1,0,19,14,1,0,0,0,0,1,0,0,0,0,0,,4,6,0,0,1,2,1,06/01/2012,home,10942,149,Coastal Carolina,9,True,11,3,8,win,780819,147,993743,2012,11 - 3,,0.0
1,,0.2,,3,3,3,1,0,0,6,4,1,1,0,0,0,0,0,0,0,0,1,,1,1,0,1,0,1,0,06/03/2012,home,10942,648,South Carolina,9,True,3,4,-1,loss,780875,147,993743,2012,3 - 4,,0.0
1,,0.0,,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,02/17/2012,home,10942,355,Liberty,9,True,0,12,-12,loss,755726,575,1315224,2012,0 - 12,,0.0
1,,2.0,,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,2,1,03/10/2012,home,10942,178,Delaware St.,9,True,1,4,-3,loss,760443,485,1098806,2012,1 - 4,,0.0
1,,3.0,,2,1,1,1,3,0,12,11,1,0,0,0,0,0,0,0,0,0,0,,6,0,1,0,0,3,1,03/13/2012,home,10942,817,Youngstown St.,9,True,10,4,6,win,761664,485,1098806,2012,10 - 4,,0.0
1,,4.0,,8,2,2,0,1,0,19,18,1,0,0,0,0,0,0,0,0,0,1,,5,5,1,0,0,2,0,03/17/2012,home,10942,393,UMES,9,True,7,5,2,win,762990,485,1098806,2012,7 - 5,,0.0
1,,0.2,,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,1,3,0,03/21/2012,home,10942,786,William & Mary,9,True,3,1,2,win,764137,485,1098806,2012,3 - 1,,0.0
1,,2.0,,0,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,03/25/2012,away,10942,165,Coppin St.,9,True,11,5,6,win,765893,485,1098806,2012,11 - 5,,20.0
1,,2.0,,5,2,2,0,3,0,11,11,1,0,0,1,0,0,0,0,0,0,0,,1,2,0,0,1,3,0,03/28/2012,away,10942,523,Old Dominion,9,True,7,5,2,win,766387,485,1098806,2012,7 - 5,,0.0
1,,4.0,,5,4,2,2,4,0,21,18,1,0,0,0,0,0,0,0,0,0,1,,5,3,0,0,0,2,1,04/01/2012,home,10942,380,Maine,9,True,1,9,-8,loss,767774,485,1098806,2012,1 - 9,,0.0
1,,1.0,,4,4,4,1,0,0,8,6,1,1,0,0,0,0,0,0,0,1,0,,2,1,0,0,0,2,0,04/07/2012,away,10942,178,Delaware St.,9,True,2,10,-8,loss,770148,485,1098806,2012,2 - 10,,28.0
1,,3.1,,8,6,5,0,5,0,18,17,1,2,0,1,0,0,0,0,0,1,0,,3,1,0,0,0,2,1,04/14/2012,away,10942,393,UMES,10,True,11,10,1,win,772235,485,1098806,2012,11 - 10,,0.0
1,,1.0,,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,4,0,04/17/2012,home,10942,523,Old Dominion,9,True,8,11,-3,loss,773176,485,1098806,2012,8 - 11,,0.0
1,,2.0,,1,0,0,0,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,04/20/2012,home,10942,165,Coppin St.,9,True,12,5,7,win,773950,485,1098806,2012,12 - 5,,0.0
1,,3.0,,3,1,1,1,4,0,13,12,0,0,0,0,0,0,0,0,0,0,0,,1,3,1,0,0,2,1,04/24/2012,home,10942,489,N.C. Central,9,True,8,4,4,win,775475,485,1098806,2012,8 - 4,,0.0
1,,4.0,,9,4,4,1,2,0,22,20,1,0,0,1,0,0,0,1,1,0,1,,3,7,0,0,0,2,0,05/18/2012,home,10942,61,Bethune-Cookman,9,True,0,9,-9,loss,780122,485,1098806,2012,0 - 9,,0.0
1,,4.0,,8,2,2,3,4,0,21,17,1,0,0,1,0,1,0,0,0,0,0,,4,1,0,0,0,1,0,02/22/2012,away,10942,489,N.C. Central,9,True,17,3,14,win,756486,193,993757,2012,17 - 3,,80.0
1,,0.1,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,1,3,0,02/25/2012,home,10942,116,Canisius,9,True,4,3,1,win,757204,193,993757,2012,4 - 3,,3.0
1,,0.1,,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,,0,1,0,0,0,5,0,02/26/2012,home,10942,116,Canisius,11,True,4,6,-2,loss,757385,193,993757,2012,4 - 6,,8.0
1,,2.0,,1,0,0,1,2,0,8,6,0,0,0,0,0,0,0,0,0,1,0,,4,0,1,0,0,4,1,02/28/2012,home,10942,204,Eastern Mich.,9,True,9,8,1,win,757761,193,993757,2012,9 - 8,,35.0
1,,2.0,,0,0,0,2,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,3,2,03/04/2012,home,10942,249,George Washington,9,True,5,8,-3,loss,758814,193,993757,2012,5 - 8,,31.0
1,,1.1,,2,1,1,1,1,0,7,6,2,0,0,0,0,0,0,1,0,0,0,,2,1,0,0,0,3,0,03/07/2012,away,10942,27,App State,9,True,4,6,-2,loss,759705,193,993757,2012,4 - 6,,27.0
1,,1.2,,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,1,1,0,0,,2,2,0,0,0,2,1,03/09/2012,home,10942,234,Florida St.,9,True,3,5,-2,loss,760074,193,993757,2012,3 - 5,,26.0
1,,1.0,,2,1,1,1,0,0,6,5,0,0,1,0,0,0,0,1,1,0,0,,1,2,0,0,0,4,0,03/13/2012,home,10942,27,App State,9,True,3,6,-3,loss,761576,193,993757,2012,3 - 6,,18.0
1,,0.2,,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,3,0,03/17/2012,home,10942,415,Miami (FL),9,True,1,2,-1,loss,762710,193,993757,2012,1 - 2,,6.0
1,,1.2,,2,1,1,0,3,0,6,6,0,1,0,1,0,0,0,2,2,0,0,,1,0,0,0,0,3,0,03/18/2012,home,10942,415,Miami (FL),9,True,1,7,-6,loss,763413,193,993757,2012,1 - 7,,32.0
1,,3.0,,2,1,1,1,3,0,14,12,0,0,0,0,0,1,0,1,0,0,0,,4,2,0,0,1,3,1,03/25/2012,away,10942,742,Virginia Tech,9,True,5,3,2,win,765540,193,993757,2012,5 - 3,,49.0
1,,1.0,,1,0,0,1,3,0,5,4,0,0,0,1,0,0,0,2,2,0,0,,0,0,0,0,0,3,1,03/27/2012,away,10942,173,Davidson,9,True,1,2,-1,loss,766085,193,993757,2012,1 - 2,,0.0
1,,0.1,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,2,0,03/31/2012,away,10942,255,Georgia Tech,9,True,0,1,-1,loss,767296,193,993757,2012,0 - 1,,7.0
1,,0.1,,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,2,2,0,0,,0,1,0,0,0,3,0,03/31/2012,away,10942,255,Georgia Tech,9,True,0,8,-8,loss,767638,193,993757,2012,0 - 8,,22.0
1,,0.2,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,0,1,3,0,04/01/2012,away,10942,255,Georgia Tech,9,True,4,3,1,win,767744,193,993757,2012,4 - 3,,2.0
1,,0.2,,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,4,0,04/03/2012,away,10942,115,Campbell,9,True,9,7,2,win,768317,193,993757,2012,9 - 7,,0.0
1,,1.0,,2,2,1,1,0,0,5,4,0,0,0,1,0,0,0,1,1,0,0,,1,1,0,0,0,3,0,04/06/2012,home,10942,147,Clemson,11,True,1,4,-3,loss,769066,193,993757,2012,1 - 4,,20.0
1,,0.2,,1,1,1,0,1,0,3,2,1,0,0,0,0,0,0,3,3,0,1,,0,1,0,0,0,4,0,04/07/2012,home,10942,147,Clemson,9,True,5,11,-6,loss,769686,193,993757,2012,5 - 11,,10.0
1,,1.0,,1,2,2,1,1,0,5,4,0,0,1,0,0,0,0,0,0,0,0,,1,1,0,1,0,2,1,04/13/2012,away,10942,392,Maryland,10,True,2,4,-2,loss,771330,193,993757,2012,2 - 4,,22.0
1,,2.0,,1,0,0,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,3,1,04/17/2012,home,10942,173,Davidson,9,True,4,8,-4,loss,773116,193,993757,2012,4 - 8,,26.0
1,,2.0,,1,0,0,2,4,0,9,7,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,1,2,0,04/20/2012,home,10942,746,Virginia,9,True,6,3,3,win,773878,193,993757,2012,6 - 3,,36.0
1,,1.0,,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,2,1,05/13/2012,home,10942,457,North Carolina,9,True,0,3,-3,loss,779644,193,993757,2012,0 - 3,,9.0
1,,3.0,,2,0,0,1,4,0,13,10,0,0,0,1,0,1,0,0,0,1,0,,4,1,0,0,0,2,2,05/15/2012,home,10942,1320,Presbyterian,9,True,2,3,-1,loss,779792,193,993757,2012,2 - 3,,64.0
1,,1.0,,0,0,0,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,3,0,05/17/2012,away,10942,67,Boston College,9,True,7,4,3,win,779865,193,993757,2012,7 - 4,,15.0
1,,1.0,,2,1,1,2,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,0,4,0,02/24/2012,home,10942,90,Cal Poly,9,True,1,9,-8,loss,756614,370,1319393,2012,1 - 9,,24.0
1,,1.0,,2,2,2,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,7,0,03/20/2012,home,10942,101,CSUN,9,True,1,12,-11,loss,763827,370,1319393,2012,1 - 12,,19.0
1,,0.0,,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,4,0,04/10/2012,away,10942,657,Southern California,12,True,8,5,3,win,770680,370,1319393,2012,8 - 5,,0.0
1,,0.1,,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,,0,0,0,0,0,3,0,04/17/2012,home,10942,99,Long Beach St.,9,True,5,4,1,win,773100,370,1319393,2012,5 - 4,,10.0
1,,1.2,,2,3,3,2,2,0,9,7,0,0,0,0,0,0,0,2,1,0,0,,0,3,0,0,0,4,0,05/15/2012,away,10942,626,San Diego St.,9,True,7,13,-6,loss,779757,370,1319393,2012,7 - 13,,0.0
1,,4.0,,1,0,0,3,3,0,17,13,0,0,0,2,0,1,0,0,0,0,0,,5,3,0,0,0,1,1,05/22/2012,home,10942,111,UC Riverside,9,True,3,0,3,win,780446,370,1319393,2012,3 - 0,,75.0
1,,3.0,,2,0,0,3,3,0,13,10,0,0,0,0,0,0,0,1,0,0,0,,3,2,1,0,0,2,1,05/27/2012,away,10942,631,Santa Clara,9,True,4,2,2,win,780760,370,1319393,2012,4 - 2,,0.0
1,,6.0,,4,3,2,2,5,0,26,22,1,0,0,0,0,2,0,0,0,0,0,,7,6,1,0,0,1,1,02/17/2012,home,10942,539,Penn St.,9,True,6,3,3,win,755728,635,1102079,2012,6 - 3,,0.0
1,,5.0,,9,5,5,3,1,0,25,19,1,0,0,0,0,1,0,0,0,1,1,,5,5,0,1,0,1,1,02/24/2012,away,10942,694,Tennessee,9,True,2,9,-7,loss,756684,635,1102079,2012,2 - 9,,91.0
1,,7.0,,5,4,2,1,3,0,29,27,0,1,0,1,1,0,0,0,0,1,0,,5,13,1,0,0,1,2,03/02/2012,home,10942,810,Wright St.,9,True,11,4,7,win,758228,635,1102079,2012,11 - 4,,0.0
1,,4.1,,10,5,4,2,4,0,25,23,2,1,0,0,0,0,0,0,0,0,0,,3,5,0,1,0,1,2,03/09/2012,home,10942,414,Miami (OH),9,True,5,7,-2,loss,760323,635,1102079,2012,5 - 7,,86.0
1,,9.0,,5,0,0,0,5,1,30,30,1,0,0,1,0,0,0,0,0,0,0,,10,10,1,0,0,1,1,03/16/2012,home,10942,236,Fordham,9,True,5,0,5,win,762343,635,1102079,2012,5 - 0,,0.0
1,,9.0,,8,0,0,0,5,1,32,32,1,0,0,0,0,0,0,0,0,0,0,,11,8,1,0,0,1,3,03/23/2012,home,10942,587,Rutgers,9,True,3,0,3,win,764511,635,1102079,2012,3 - 0,,0.0
1,,8.0,,8,1,1,2,4,0,32,30,0,1,0,0,0,0,0,0,0,0,0,,9,9,0,0,0,1,1,03/30/2012,away,10942,164,UConn,11,True,1,2,-1,loss,766918,635,1102079,2012,1 - 2,,98.0
